NR_SEQL_OCR_CVN;NR_CVN;VL_SDO_CGN;DT_CBR_PCL;DT_PRVT_RPSS_CVN;NR_CTR_OPR
67542077;99446;386.09;2019-09-30;2019-09-30;903179878
67542224;99833;121.36;2019-09-30;2019-09-30;851917888
67542814;100558;2159.77;2019-09-30;2019-09-30;920065037
67542815;100558;143.68;2019-09-30;2019-09-30;921766707
67556389;114367;486.62;2019-10-10;2019-09-30;827160411
67570183;123564;363.35;2019-09-28;2019-09-30;911551761
67570184;123564;206.00;2019-09-28;2019-09-30;916728044
67574704;128771;293.42;2019-09-30;2019-09-30;902312270
67582041;130644;237.66;2019-09-30;2019-09-30;895108797
67584477;137744;248.47;2019-09-28;2019-09-30;915792102
67584478;137744;293.11;2019-09-28;2019-09-30;916720185
67584513;138593;411.06;2019-09-30;2019-09-30;921030649
67584809;140951;891.69;2019-09-30;2019-09-30;894423085
67585110;143010;1240.84;2019-09-30;2019-09-30;863118142
67585450;146590;137.82;2019-09-30;2019-09-30;886002542
67585451;146590;110.41;2019-09-30;2019-09-30;890583025
67585452;146590;211.01;2019-09-30;2019-09-30;894684994
67586143;154516;71.88;2019-10-06;2019-09-30;842640089
67586158;154516;731.29;2019-09-30;2019-09-30;890125902
67586159;154516;475.44;2019-09-30;2019-09-30;894979739
67587538;201464;622.12;2019-09-30;2019-09-30;883042854
67587648;206311;289.46;2019-09-30;2019-09-30;909014724
67587857;212541;221.13;2019-09-30;2019-09-30;877981319
67587889;213064;1337.16;2019-10-14;2019-09-30;842700530
67588031;213064;745.41;2019-10-07;2019-09-30;896217354
67591749;311698;653.13;2019-10-11;2019-09-30;887035731
67591784;311698;334.08;2019-10-11;2019-09-30;907048251
67592405;329102;405.80;2019-09-30;2019-09-30;921055308
67593247;358888;186.76;2019-09-30;2019-09-30;895286195
67593345;359170;30.03;2019-10-07;2019-09-30;895520283
67593346;359170;251.33;2019-10-07;2019-09-30;895902780
67593367;364287;44.49;2019-10-10;2019-09-30;806855992
67593373;364287;198.54;2019-10-10;2019-09-30;818655500
67593389;364287;75.99;2019-10-10;2019-09-30;833447275
67593403;364287;38.27;2019-10-10;2019-09-30;838150764
67596827;92014;58.13;2019-09-30;2019-09-30;901646188
67601577;364287;61.92;2019-10-10;2019-09-30;833896245
67683779;96329;1514.75;2019-10-01;2019-10-01;841567315
67683780;96329;769.73;2019-10-01;2019-10-01;851097069
67683781;96329;146.53;2019-10-01;2019-10-01;857805058
67683782;96329;182.68;2019-10-01;2019-10-01;893331117
67683783;96329;581.60;2019-10-01;2019-10-01;893991831
67683784;96329;378.98;2019-10-01;2019-10-01;896698884
67684694;104076;1330.94;2019-10-07;2019-10-01;866864394
67691626;122228;496.02;2019-10-01;2019-10-01;875509523
67691627;122228;1215.31;2019-10-01;2019-10-01;882112810
67691628;122228;1271.40;2019-10-01;2019-10-01;883340097
67696482;358109;1099.35;2019-10-01;2019-10-01;915632005
67696533;367995;729.82;2019-10-01;2019-10-01;909420026
67707605;308975;122.55;2019-10-02;2019-10-02;827511271
67717180;213064;19.52;2019-09-30;2019-09-30;914306106
67717184;357603;231.27;2019-09-30;2019-09-30;913970192
67777051;96705;195.40;2019-10-07;2019-10-07;874818809
67777053;96705;209.56;2019-10-07;2019-10-07;908791844
67779335;104516;311.96;2019-10-05;2019-10-07;861205737
67782618;112248;117.54;2019-10-05;2019-10-07;855591219
67782619;112248;43.08;2019-10-05;2019-10-07;856811293
67782690;113326;125.29;2019-10-05;2019-10-07;897922867
67790478;122262;582.93;2019-10-15;2019-10-07;838664012
67790828;123757;1359.05;2019-10-07;2019-10-07;920807370
67796375;152456;572.02;2019-10-05;2019-10-07;903628931
67796670;165414;255.44;2019-10-07;2019-10-07;869085926
67798578;214847;521.50;2019-10-07;2019-10-07;875791536
67799618;215422;435.31;2019-10-09;2019-10-07;660501410
67799628;215422;1041.10;2019-10-09;2019-10-07;700900301
67799674;215434;25.00;2019-10-09;2019-10-07;660000563
67835357;315536;242.61;2019-10-05;2019-10-07;850607559
67835595;325600;336.61;2019-10-08;2019-10-07;865624694
67835597;325600;37.91;2019-10-07;2019-10-07;889483454
67835598;325600;1148.19;2019-10-07;2019-10-07;910130952
67835870;352382;430.52;2019-10-05;2019-10-07;863752487
67835871;352382;1422.38;2019-10-05;2019-10-07;867370755
67835872;352382;438.06;2019-10-05;2019-10-07;873725605
67835873;352382;82.48;2019-10-05;2019-10-07;882482565
67835874;352382;146.18;2019-10-05;2019-10-07;900365565
67835875;352382;122.59;2019-10-05;2019-10-07;906065215
67835876;352382;31.92;2019-10-05;2019-10-07;912009602
67835877;352382;203.04;2019-10-05;2019-10-07;914384844
67835878;352382;200.99;2019-10-05;2019-10-07;916948345
67835879;352382;947.57;2019-10-05;2019-10-07;918243811
67835880;352382;344.05;2019-10-05;2019-10-07;919884735
67835881;352382;137.36;2019-10-05;2019-10-07;920952220
67835882;352382;42.05;2019-10-05;2019-10-07;923550685
67835987;358875;436.64;2019-10-07;2019-10-07;919678487
67845706;55929;243.28;2019-10-08;2019-10-08;900304805
67848140;331160;408.13;2019-10-09;2019-10-09;887088892
67850761;97579;79.92;2019-10-10;2019-10-10;889870615
67853216;119048;52.08;2019-10-10;2019-10-10;835274558
67853217;119048;148.99;2019-10-10;2019-10-10;839636662
67854007;130765;356.87;2019-10-10;2019-10-10;823119123
67854369;131547;253.03;2019-10-10;2019-10-10;914885879
67854370;131547;131.76;2019-10-10;2019-10-10;922511234
67854838;132678;466.57;2019-10-10;2019-10-10;921055908
67854847;132826;151.90;2019-10-10;2019-10-10;884269091
67854848;132826;322.98;2019-10-10;2019-10-10;902757146
67855248;136861;234.29;2019-10-10;2019-10-10;867621758
67855249;136861;26.59;2019-10-10;2019-10-10;869447599
67855250;136861;355.90;2019-10-10;2019-10-10;885499461
67855287;138510;107.91;2019-10-10;2019-10-10;875202551
67855288;138510;127.15;2019-10-10;2019-10-10;881481207
67855322;141060;988.22;2019-10-10;2019-10-10;914553641
67855927;296523;277.29;2019-10-10;2019-10-10;903542996
67856010;312027;280.58;2019-10-20;2019-10-10;873799676
67856173;333584;228.61;2019-10-10;2019-10-10;907060439
67856174;333584;66.07;2019-10-10;2019-10-10;916054805
67856369;352777;657.04;2019-10-15;2019-10-10;862805052
67856413;358875;7532.34;2019-10-07;2019-10-07;919405204
67856466;367824;285.53;2019-10-10;2019-10-10;915319930
67856467;367824;213.81;2019-10-10;2019-10-10;921503274
67856503;370468;778.25;2019-10-10;2019-10-10;918618145
67856504;370468;626.07;2019-10-10;2019-10-10;918709768
67856505;370468;169.93;2019-10-10;2019-10-10;919494215
67862263;115326;302.08;2019-10-12;2019-10-14;841541980
67862272;116106;694.22;2019-10-14;2019-10-14;891516211
67862273;116106;133.38;2019-10-14;2019-10-14;902229673
67862274;116106;205.41;2019-10-14;2019-10-14;902375109
67863490;309654;319.68;2019-10-14;2019-10-14;884924126
67863526;353506;328.17;2019-10-14;2019-10-14;920798211
67863550;367941;381.09;2019-10-14;2019-10-14;912127937
67865563;106808;2094.38;2019-10-15;2019-10-15;888891836
67865564;106808;280.87;2019-10-15;2019-10-15;897375404
67865565;106808;1938.65;2019-10-15;2019-10-15;904960614
67871967;132857;368.12;2019-10-16;2019-10-16;829442499
67871968;132857;539.20;2019-10-16;2019-10-16;855909906
67871970;133145;285.55;2019-10-16;2019-10-16;889155295
67871971;133145;660.28;2019-10-16;2019-10-16;899636904
67880758;121553;154.22;2019-10-20;2019-10-21;894034756
67882866;147451;477.70;2019-10-19;2019-10-21;896566935
67882937;153010;235.90;2019-11-15;2019-10-21;860602550
67882938;153010;314.25;2019-11-15;2019-10-21;864249941
67882939;153010;108.20;2019-11-15;2019-10-21;864309647
67882940;153010;444.35;2019-11-15;2019-10-21;865019931
67882941;153010;453.47;2019-11-15;2019-10-21;868918238
67882942;153010;592.97;2019-11-15;2019-10-21;869442981
67882943;153010;1503.56;2019-11-15;2019-10-21;870384307
67882944;153010;891.31;2019-11-15;2019-10-21;870606321
67882946;153010;780.90;2019-11-15;2019-10-21;871412202
67882947;153010;293.76;2019-11-15;2019-10-21;872209068
67882948;153010;620.33;2019-11-15;2019-10-21;873558543
67882949;153010;726.68;2019-11-15;2019-10-21;875271887
67882950;153010;252.43;2019-11-15;2019-10-21;875401103
67882951;153010;240.13;2019-11-15;2019-10-21;877958272
67882952;153010;689.70;2019-11-15;2019-10-21;878181004
67882953;153010;115.26;2019-11-15;2019-10-21;879102567
67882954;153010;958.43;2019-11-15;2019-10-21;880918996
67882955;153010;621.06;2019-11-15;2019-10-21;881080043
67882956;153010;1323.74;2019-11-15;2019-10-21;881419786
67882957;153010;879.40;2019-11-15;2019-10-21;881641170
67882958;153010;768.89;2019-11-15;2019-10-21;882406187
67882959;153010;81.65;2019-11-15;2019-10-21;883285575
67882960;153010;209.08;2019-11-15;2019-10-21;883628950
67882961;153010;531.43;2019-11-15;2019-10-21;883655661
67882962;153010;451.94;2019-11-15;2019-10-21;884186234
67882963;153010;326.33;2019-11-15;2019-10-21;884875348
67882964;153010;1034.64;2019-11-15;2019-10-21;885134106
67882965;153010;275.51;2019-11-15;2019-10-21;886040947
67882966;153010;1078.75;2019-11-15;2019-10-21;889472847
67882967;153010;885.76;2019-11-15;2019-10-21;890057754
67882968;153010;1430.61;2019-11-15;2019-10-21;890384719
67882969;153010;1042.42;2019-11-15;2019-10-21;890631918
67882970;153010;490.59;2019-11-15;2019-10-21;891144318
67882971;153010;241.25;2019-11-15;2019-10-21;891682178
67882972;153010;1440.69;2019-11-15;2019-10-21;894000249
67882973;153010;1157.87;2019-11-15;2019-10-21;894161610
67882974;153010;826.31;2019-11-15;2019-10-21;894200386
67882975;153010;441.45;2019-11-15;2019-10-21;894378477
67882976;153010;1880.45;2019-11-15;2019-10-21;894485636
67882977;153010;941.44;2019-11-15;2019-10-21;894533781
67882978;153010;390.89;2019-11-15;2019-10-21;895058733
67882979;153010;995.16;2019-11-15;2019-10-21;895379771
67882980;153010;824.96;2019-11-15;2019-10-21;896022659
67882981;153010;380.53;2019-11-15;2019-10-21;896046543
67882982;153010;390.59;2019-11-15;2019-10-21;896145719
67882983;153010;1317.53;2019-11-15;2019-10-21;896237831
67882984;153010;1417.90;2019-11-15;2019-10-21;896640443
67882985;153010;1159.01;2019-11-15;2019-10-21;896861457
67882986;153010;68.52;2019-11-15;2019-10-21;897078279
67882987;153010;299.55;2019-11-15;2019-10-21;897631321
67882988;153010;349.11;2019-11-15;2019-10-21;898057219
67882989;153010;285.33;2019-11-15;2019-10-21;898453420
67882990;153010;589.12;2019-11-15;2019-10-21;898585329
67882991;153010;351.20;2019-11-15;2019-10-21;899580525
67882992;153010;916.62;2019-11-15;2019-10-21;899642331
67882993;153010;1577.17;2019-11-15;2019-10-21;899697457
67882994;153010;330.22;2019-11-15;2019-10-21;902269191
67882995;153010;1416.88;2019-11-15;2019-10-21;902961554
67882996;153010;700.38;2019-11-15;2019-10-21;903366758
67882997;153010;1293.74;2019-11-15;2019-10-21;903627833
67882998;153010;1384.63;2019-11-15;2019-10-21;903632016
67882999;153010;1048.83;2019-11-15;2019-10-21;904418280
67883000;153010;51.39;2019-11-15;2019-10-21;904819432
67883001;153010;222.07;2019-11-15;2019-10-21;904973394
67883002;153010;196.32;2019-11-15;2019-10-21;904981126
67883003;153010;265.59;2019-11-15;2019-10-21;905273785
67883004;153010;826.50;2019-11-15;2019-10-21;907688512
67883005;153010;455.99;2019-11-15;2019-10-21;909068913
67883006;153010;367.63;2019-11-15;2019-10-21;911004226
67883007;153010;796.35;2019-11-15;2019-10-21;911268566
67883008;153010;712.52;2019-11-15;2019-10-21;912368796
67883009;153010;351.57;2019-11-15;2019-10-21;913830979
67883010;153010;677.40;2019-11-15;2019-10-21;914551394
67883011;153010;1345.55;2019-11-15;2019-10-21;916349771
67883012;153010;334.55;2019-11-15;2019-10-21;916726458
67883013;153010;1860.67;2019-11-15;2019-10-21;916954382
67883014;153010;1034.88;2019-11-15;2019-10-21;917222538
67883015;153010;284.82;2019-11-15;2019-10-21;917323441
67883016;153010;1647.66;2019-11-15;2019-10-21;917429984
67883017;153010;703.69;2019-11-15;2019-10-21;917680741
67883018;153010;373.31;2019-11-15;2019-10-21;917891065
67883019;153010;463.51;2019-11-15;2019-10-21;918750842
67883020;153010;694.76;2019-11-15;2019-10-21;919146988
67883021;153010;693.32;2019-11-15;2019-10-21;919265106
67883022;153010;337.88;2019-11-15;2019-10-21;919518402
67883023;153010;1001.44;2019-11-15;2019-10-21;920041477
67883024;153010;370.44;2019-11-15;2019-10-21;920743903
67883025;153010;331.72;2019-11-15;2019-10-21;921053739
67883026;153010;340.18;2019-11-15;2019-10-21;921889965
67883027;153010;178.43;2019-11-15;2019-10-21;923532440
67883168;163891;1065.48;2019-10-21;2019-10-21;904345089
67883804;357810;555.46;2019-10-20;2019-10-21;917126042
67883925;367397;504.05;2019-10-20;2019-10-21;902230229
67884015;368342;724.92;2019-10-21;2019-10-21;924576808
67884017;370410;577.16;2019-10-20;2019-10-21;917750753
67889188;140473;448.85;2019-10-23;2019-10-22;827029939
67889214;140473;499.50;2019-10-22;2019-10-22;873640560
67889215;140473;480.97;2019-10-22;2019-10-22;881564643
67889216;140473;808.48;2019-10-22;2019-10-22;894985050
67889217;140473;2953.09;2019-10-22;2019-10-22;908110108
67889218;140473;931.52;2019-10-22;2019-10-22;914752302
67889219;140473;409.55;2019-10-22;2019-10-22;923533992
67893677;11604;275.92;2019-09-29;2019-09-30;913444695
67894709;127054;146.50;2019-10-24;2019-10-24;890387448
67896427;96660;361.62;2019-10-25;2019-10-25;914284340
67898259;133688;506.73;2019-10-25;2019-10-25;872766730
67899824;335742;733.70;2019-10-25;2019-10-25;923676972
67899917;364215;317.76;2019-10-25;2019-10-25;890513771
67900463;85341;448.90;2019-10-27;2019-10-28;897995332
67913138;11604;275.92;2019-10-29;2019-10-29;913444695
67923682;97388;248.24;2019-10-30;2019-10-30;847625413
67923683;97388;240.79;2019-10-30;2019-10-30;868764350
67923684;97388;236.59;2019-10-30;2019-10-30;880933014
67923686;97388;291.67;2019-10-30;2019-10-30;918576858
67925957;97655;283.08;2019-10-30;2019-10-30;871781796
67925958;97655;254.79;2019-10-30;2019-10-30;874909349
67925959;97655;279.64;2019-10-30;2019-10-30;888502118
67925960;97655;365.86;2019-10-30;2019-10-30;890138311
67926393;98928;405.72;2019-10-25;2019-10-30;904725302
67929444;112861;345.66;2019-10-30;2019-10-30;884129369
67932947;183783;962.27;2019-10-30;2019-10-30;916705189
67933537;327169;672.84;2019-10-30;2019-10-30;879208307
67933538;327169;58.10;2019-10-30;2019-10-30;879936715
67933779;359087;241.39;2019-10-30;2019-10-30;894698201
67933780;359087;340.76;2019-10-30;2019-10-30;905796127
67935331;1069;175.80;2019-11-10;2019-10-31;853899173
67935333;1069;95.61;2019-11-10;2019-10-31;859677169
67935620;1347;1736.30;2019-11-05;2019-10-31;864748876
67954404;97292;483.94;2019-10-31;2019-10-31;913090457
67993517;128820;1251.32;2019-10-31;2019-10-31;875284014
68004032;146590;378.47;2019-11-15;2019-10-31;840865897
68004051;146590;292.88;2019-10-31;2019-10-31;900512822
68004052;146590;287.18;2019-10-31;2019-10-31;910027251
68004053;146590;285.27;2019-10-31;2019-10-31;910500464
68004515;154516;611.62;2019-10-31;2019-10-31;883204557
68005791;213064;1337.16;2019-11-14;2019-10-31;842700530
68006179;214747;216.58;2019-10-31;2019-10-31;864472096
68006225;214747;278.22;2019-11-15;2019-10-31;898870299
68009253;311101;1296.94;2019-10-31;2019-10-31;916239839
68009254;311101;332.55;2019-10-31;2019-10-31;916945213
